   2	24569.7663	29077.5348	4078293.8156    2515163.3804    4195929.6748
   6	23767.6530	25890.6630	4077125.5630    2516300.0070    4196157.4602	
  18	24253.2130	21575.0000	4075563.7946    2517483.7418    4197253.1415	
  19	24069.9130	21434.3750	4075532.1848    2517592.2175    4197219.2422	
  20	24780.1990	21754.0000	4075541.4822    2517205.2628    4197349.8014	
  21	20646.2563	22350.1222	4076320.9442    2518661.1957    4196015.3404	
  24	21346.8930	22103.8260	4076167.4849    2518489.0802    4196314.3875	
  25	23369.6040	20305.9540	4075200.2952    2518186.2807    4197206.9820	
  26	22802.8030	19670.9980	4074999.2070    2518544.1595    4197102.5849	
  27	23909.2390	19425.7070	4074796.0536    2518223.4481    4197527.4833	
  28	22711.6360	17269.9420	4074142.7445    2519295.8258    4197549.7753	
  30	24439.2040	18181.2600	4074183.3082    2518283.0754    4197811.2348	
  32	23596.6000	18444.5400	4074381.2235    2518525.8354    4197491.5170	
  33	24663.6690	16771.8830	4073693.1271    2518676.3969    4198221.0399	
  35	24483.6370	16663.9550	4073684.8266    2518788.4936    4198198.1924	
  37	25425.1200	15696.9210	4073188.0349    2518685.1671    4198640.5668	
  42	17747.0190	15450.0470	4074052.0830    2521679.1518    4196294.2508	
  45	20835.2960	13490.6990	4072975.9960    2521117.2733    4197679.9413	
  46	21152.3240	13038.1410	4072751.5276    2521098.4627    4197828.0343	
  51	23062.6680	14694.2820	4073161.2763    2519931.9305    4198161.2497	
  52	23263.8180	15562.8900	4073454.8343    2519599.9092    4198058.2744	
  54	24994.9730	15608.4070	4073214.2814    2518879.9628    4198530.4934	
  55	24995.4400	15349.0570	4073114.6848    2518951.5665    4198574.7457	
  58	24796.6260	13432.6180	4072382.3106    2519529.6240    4198803.2619	
  59	25282.3300	13604.2530	4072391.9850    2519302.3321    4198930.9354	
  60	25348.7666	13110.1245	4072201.3429    2519420.3948    4199045.5247	
  62	25480.6770	12241.8370	4071863.2335    2519620.8940    4199246.8732	
  63	24362.3077	12797.4891	4072198.3884    2519874.6786    4198781.8542	
  64	25766.6330	10081.4570	4071099.7941    2520218.8979    4199835.8535	
  65	23475.9490	11543.2040	4071844.9713    2520572.7866    4198740.2395	
  66	22252.6930	12496.6820	4072379.6714    2520796.9081    4198218.6775	
  68	22973.6570	10723.4310	4071589.4496    2520986.8133    4198714.9584	
  71	20605.3828	12581.7463	4072682.5581    2521475.3578    4197784.5956	
  74	23895.4820	 9735.0000	4071211.7131    2521040.1556    4199322.5500	
  78	26966.2450	 8999.1250	4070519.4243    2520041.5291    4200369.3002	
  79	26709.7740	 8343.7500	4070299.8771    2520316.7159    4200395.9470	
  80	25997.5160	 7803.0000	4070187.9664    2520743.1008    4200274.0608	
  84	23511.3910	 8817.5000	4070946.8407    2521477.4004    4199412.7060	
  85	22785.5830	 6673.2500	4070168.7181    2522284.7326    4199469.3202	
  86	17368.2640	 6862.7500	4070874.9735    2524250.6337    4197704.4152	
  89	23318.9750	 5069.2500	4069453.3343    2522486.5952    4199865.7805	
  90	24217.7350	 5231.0000	4069412.0089    2522108.4574    4200129.3098	
  94	25704.5820	 4067.5000	4068838.1210    2521926.8148    4200866.0162	
  95	26783.9310	 3866.2500	4068626.8862    2521572.8257    4201233.6256	
  97	24734.7440	 4447.2500	4069094.1949    2522180.0639    4200486.1975	
  98	21655.4810	 5216.2500	4069699.9392    2523059.8012    4199300.0209	
 104	20922.7750	 1248.0000	4068317.6275    2524474.6710    4199792.9849	
 106	23381.5530	 3461.0000	4068852.6976    2522927.4325    4200184.1622	
 117	24546.6400	21555.5000	4075504.9339    2517359.9040    4197327.0923	
 119	24501.3080	17994.7500	4074109.1721    2518318.7709    4197863.8375	
 120	22901.6240	14529.5000	4073127.0900    2520048.3598    4198150.9982	
 122	24129.5350	15240.0000	4073211.9356    2519347.8106    4198365.0115	
 158	10760.2350	 5948.2500	4071405.3690    2527079.0137    4195878.1021	
 181	20547.7990	10126.3750	4071660.6551    2522071.4649    4198056.3696	
 183	24443.6570	10067.0000	4071294.1792    2520768.4289    4199470.5093	
 184	22122.8460	 7491.2500	4070577.1199    2522330.0151    4199152.9992	
 185	24969.9050	 7673.2500	4070297.5736    2521204.6811    4200020.1360	
 186	20128.2300	 4716.0000	4069697.7984    2523775.8033    4198906.0093	
 205	17462.1310	27534.6250	4078601.9970    2518325.8723    4194009.2619	
 207	17165.5010	27785.5000	4078709.8432    2518340.5251    4193841.1208	
 214	15755.1520	17625.0000	4075123.2115    2521829.5627    4195299.2904	
 216	14454.3150	21023.7500	4076567.6841    2521370.6723    4194296.7542	
 218	13155.2030	24624.0000	4078056.0408    2520816.1393    4193213.3085	
 221	14638.8470	25412.0000	4078156.4129    2520009.9187    4193517.6972	
 223	8802.0820	11316.0000	4073625.8254    2526269.8964    4194268.8673	
 227	8995.4830	20588.5000	4077083.9784    2523576.9961    4192681.0391	
 230	7567.0260	16376.5000	4075662.1384    2525295.0362    4192964.9844	
 259	11241.6430	 6255.0000	4071457.5619    2526803.0520    4195969.7415	
 260	13197.5790	 7669.0000	4071704.2724    2525619.0965    4196276.3229	
 263	15706.1240	13615.5000	4073584.4749    2522936.6719    4195944.4044	
1911	17168.0870	28831.0000	4079044.3855    2517974.8478    4193578.3243	
1941	13904.4160	29610.2500	4079764.7688    2519022.9132    4192450.4263	
